순번,질문,답변
10,"사이가 좋지 않은 동료와 함께 일을 하고 있습니다. 정신적으로 너무 힘든데, 어떻게 해야 할까요?"," 오랜 시간 함께하는 동료와 갈등 관계에 계시다니 스트레스가 많으시겠어요. 몇 가지 방법을 추천해 드리겠습니다. 비판적, 평가적 태도보다는 자신의 주관적 불편감을 중심으로 대화를 나누는 것이 도움이 됩니다. 상대의 행동이나 말에서 옳고 그름을 지적하는 것은 상대를 반성하게 만들기보다 방어막만 세우게 합니다. 따라서 현재 상황과 상대의 행동을 있는 그대로 묘사하고 그로 인한 나의 주관적 느낌을 전달하는 ‘나 전달법’을 사용해보세요. 갈등의 영역이 업무상에서의 의견 충돌, 방식의 차이 등에서 나오는 것인지, 사적인 측면에서의 개인 간 성격 차이, 가치관의 문제 등에서 나오는 것인지 먼저 구분해 보는 것이 필요합니다. 어떤 부분이 문제인지 명확히 하고 선을 정하거나 함께 대안을 찾아볼 수 있습니다. 문제가 오래 지속되어 개선의 여지가 없다면 제도적인 방법으로 접근하실 수도 있습니다. 직장 내 괴롭힘, 중재와 관련된 제도가 있으니 관리자와 상의하여 근무환경 변화나 업무 조정 등의 방법을 찾아보실 수도 있습니다. "
11,자기 지향적 완벽주의로 인한 지연 행동의 해결책을 알고 싶어요. ," 자기 지향적 완벽주의는 연구마다 다르기는 하지만 오히려 지연 행동을 덜하게 돕는 변인으로 설명되기도 합니다. 자신의 만족을 위해 성실히 일하고, ‘실패해도 괜찮고 배울 수 있는 기회였다’라고 생각하며, 성패를 자신의 존재와 관련 짓지 않는 것이죠. 현재 헬스케어센터에서 질문과 관련된 정신건강 콘텐츠를 제작하고 있습니다. 오픈 전이지만 실제로 해보실 수 있는 방법을 알려드리겠습니다. 윤이 님은 어떨 때 주로 미루시나요? 그리고 그때 드는 생각은 어떤가요? *과제가 어려울 때? 잘할 자신이 없을 때?  =>  남들은 다 잘하는데 나만 못해. 망치면 취업길도 막혀. 윤이 님께 중요한 타인이 1번 질문의 답변과 같이 얘기했을 때, 윤이님의 반응과 해주고 싶은 말은 어떤 것일까요? 자 그렇다면 이제 현실적으로 판단해봅시다. 윤이 님의 계획은 현실성이 있나요? 공부나 과제에 드는 시간, 난이도에 관한 판단과 실제로 소요된 시간과 느낀 난이도를 비교해보세요. "
12,스트레스로 인한 지연 행동의 해결책을 알고 싶어요. ," 스트레스로 인한 지연 행동도 앞선 답변과 마찬가지입니다. 스트레스를 받는 이유와 해야 할 일에 대해 윤이 님이 가지고 있는 생각을 먼저 탐색해봐야 합니다. 지연 행동을 해결할 몇 가지 방법을 알려드릴게요. ㅁ 마음을 정리하고, 있는 그대로의 감정을 수용하기 - 감정에 휩싸여 있을 때는 보이지 않던 것들이, 한 걸음 물러나 마음의 여유를 두고 보면 보일 때가 있습니다. 명상, 산책 등 시간을 내어보세요. ㅁ 대단한 거 말고, 아주 소소한 것부터 시작하기 - 다이어트를 한다고 봅시다. 10kg 감량을 목표로 잡고 식단 짜다 스트레스받아 떡볶이를 시켜 먹습니다. 10kg 빼야지 (X) → 저녁밥 1/2 줄이기 (O) ㅁ 습관 만들기 방법 활용하기 - 실패하기 어려운 아주 작은 단위의 일들은 오래 유지할 수 있고 매일 성공 경험이 쌓여 자신감을 키워줍니다. 하루 1시간씩 헬스 하기 (X) → 하루 3개씩 팔굽혀펴기하기 (O)"
13,"실수하지 않으려고 작성한 문서를 여러 번 확인하고, 화재 위험성이 있는 물건을 여러 번 확인하고, 차량 시동도 껐는지 재차 확인하는 습관이 생겼습니다. 강박이 심해지는 건 아닌지, 자녀가 배우는 건 아닌지 걱정됩니다."," 문서의 오타나 불을 잘 껐는지 등의 걱정을 해보지 않은 사람은 없을 것입니다. 적당한 확인은 완성도를 높이고 안전확보에 도움이 되는 것이죠. 다만 걱정에서 부정적 생각이 끝없이 반복되거나(강박사고), 몇 번이고 확인해야 마음이 편해진다면(강박 행동) 생활에 불편함이 생길 수밖에 없습니다. 그렇다면 왜 윤이 님은 반복적인 걱정에 빠지게 되었을까요? 강박 증상을 유발하는 심리적 요소는 개인에 따라 다르지만, 완벽주의, 파국적 사고, 위험에 대한 과대평가, 불확실성에 대한 인내력 부족 등 다양합니다. 해결을 위해서는 강박 행동을 유발하는 강박사고, 강박 사고를 유발하는 마음속 생각과 감정을 타고 올라가 윤이 님을 불안하게 하는 핵심요소가 무엇인지 파악하는 것이 첫 번째 단계이며, 걱정하는 일이 일어나지 않는다는 것을 현실에서 반복적으로 경험하며 새로운 습관을 만드는 것이 두 번째 단계일 것입니다. "
14,"이제는 일상생활에 무리가 오는 것 같아요. 중독(스마트폰, 게임 등)에서 벗어날 수 있을까요? "," 우리의 뇌는 아이러니하게도 ‘게임 안 해야지!’라고 생각하면 ‘안 해야지’에 포인트가 맞춰지는 게 아니라 ‘게임’에 포인트를 맞추고 오히려 더 생각하게 됩니다. 그래서 이를 금지사항으로 두는 것보다는 대체할 수 있는 대안을 찾아 행동하는 것이 더 유익한 방법입니다. ㅁ 게임을 주로 할 때는 어떤 때인지, 그때의 마음과 생각은 어떠한지를 기록하고 그런 감정과 생각이 들 때 대신할 대안 행동 찾기. 격렬한 운동, 십자수, 친구와 수다, 산책, 독서, 그림 그리기 등. 단, 핸드폰을 활용한 활동 X ㅁ 핸드폰은 집에 두고 야외활동을 하거나 핸드폰을 만지지 않으면 보상을 주는 방법 사용하기 ㅁ 타임 타이머, 핸드폰 사용 시간 지정하는 앱 활용하기 유료 앱 ‘Forest’ 사용 금지 시간을 정해 그 시간 동안 핸드폰을 안 보는 만큼 나무를 성장시키고, 협력 환경단체가 실제로 심습니다. ㅁ 게임이나 핸드폰으로 회피하게 만들었던 이유 살펴보기 시험 기간만 되면 방 청소를 하고, 시사 다큐멘터리도 재밌어지는 이유는!? "
15,"스트레스로 가득한 학기를 보내고 나서 어떻게 회복시키는 게 좋을까요? 특히, 활동적인 방법과 정적인 방법 중에 무엇이 더 낫나요?"," 정답은 늘 그렇듯 ‘균형’에 있습니다. 유명한 볼거리를 찾아간다거나 친구를 만나는 것도 좋습니다. 또한 안락의자에 앉아서 편안하게 휴식을 취하는 것도 지친 활력을 회복시키는 데 도움이 됩니다. 먼저, 다른 약속을 잡지 않고 집에서 조용히 쉬면서 회복시키는 것도 좋은 선택입니다. 그다음 좀 지루해졌다 싶으면 계획을 세우고 원하는 것을 하면 됩니다. 이와 반대로 처음부터 활동적인 무언가를 해야 잘 쉬었다고 생각하는 사람들도 있겠죠? 중요한 것은 윤이 님이 무엇을 필요로 하는지 깨닫는 것입니다. 잘 깨닫지 못해도 상관없습니다. 그때그때 필요에 따라 윤이 님의 계획을 바꾸면 되니까요. "
16,번-아웃된 것 같아요. 어떻게 예방할 수 있나요?," burn-out(소진) 증후군의 대표적인 증상 3가지입니다. ① 에너지의 고갈(피로) ② 업무에 대한 스트레스와 냉소적 태도 ③ 업무와 일상에서의 효율 감소_x000D_
 때때로 우리는 자기 일을 열심히, 그리고 잘 해내고 싶은 마음에 자신이 할 수 있는 것보다 많은 일을 하게 됩니다. 그러다 높은 기준에 도달하지 못하는 자신을 마주하게 되면 죄책감, 수치심 등의 부정적 감정을 가지게 되며 서서히 지쳐갑니다. 너무 잘하려는 비현실적인 목표를 내려놓고 현실적으로 조정하는 것이 당장은 불안할 수 있습니다. 그러나 결국은 지치지 않고 꾸준한 성과를 통해 더 나은 목표에 도달하는 윤이 님을 만나실 수 있을 것입니다. 또한 “계획된 휴식”을 추천해 드립니다. 가벼운 산책 후 소파에 늘어져 좋아하는 TV 프로그램을 보는 계획을 세우거나, 업무량에 따라 시간을 조절하는 등의 방식으로요."
17,좋은 정신건강을 위해 일상에서 하면 좋은 습관은 무엇이 있나요? ," 좋은 정신건강으로 지낸다는 것은 누구나 바라는 일일 것입니다. 추천해드릴 습관은 아주 많지만, 핵심적인 것만 몇 가지 안내해 드릴게요. ㅁ I’m OK, you’re OK! 관점 가지기 ㅁ 자신을 돌보고 가꾸는 활동하기 ㅁ 가끔 일탈 즐기기 ㅁ 좋은 사람들과 함께 즐거운 시간 보내기 ㅁ 지나친 욕심에서 벗어나 작은 것부터 만족하기 ㅁ 미래보다는 현재에 집중하기"
18,정신건강에 문제가 생겼을 때 나타나는 신체적 증상이 있나요?," 신체 증상은 심리적인 스트레스가 적절하게 표현되지 못했거나 해소되지 않았을 때 발생합니다. 미해결된 부정적 감정들이 몸을 통해 표현되는 것이죠. 신체 증상이 나타났을 때 먼저 병원에서 의학적 검사와 진단을 받아보고, 뚜렷한 원인이 발견되지 않는다면, 심리적인 요인을 고려해볼 필요가 있습니다. 스트레스가 심할 때 흔히 겪는 신체 증상으로는 두통, 복통을 포함한 각종 통증과 만성피로가 있습니다. 또한 면역력 저하로 인한 다양한 질병과 증상들도 유발됩니다. 특히, 긴장, 불안, 공포가 심할 때는 심장 두근거림, 호흡 불편감, 식은땀, 가슴 통증 등이 나타날 수 있고, 심하면 과호흡을 동반한 공황 증상이 나타나기도 합니다. 중요한 이벤트나 시험을 앞두면 속 쓰림, 과민성 대장 증후군 등을 경험할 수 있고, 스트레스나 우울감이 심할 경우 가슴 답답함, 식욕 저하 혹은 폭식, 과수면 혹은 불면증, 손 떨림, 이명, 소화불량, 손/발 저림 등 다양한 증상들이 나타날 수 있습니다. 따라서 평소 자신의 마음 상태를 잘 인식하고 스트레스나 부정적인 감정이 누적되지 않도록 잘 해소하는 것이 중요합니다. 스트레스를 받을 때 윤이 님께 주로 어떤 증상들로 표현되는지 미리 파악하고 있다면, 심리적 건강 상태에 대한 경고 신호로 활용할 수 있을 것입니다."
19,"감정적으로 무뎌진 것 같아요. 기쁨, 슬픔, 분노 등의
표현이 힘들고 어렵습니다. 우울증인가요?","감정적 경험이나 반응 표현이 점점 둔감해지고 저하된 상태를 ‘ 무감동 ' 혹은 ‘ 무쾌감증 ' 이라고 설명해 드릴 수 있겠습니다. 우울증에서 흔히 나타나는 증상이며 주요 우울장애 환자의 약 가 무쾌감증을 경험하고 있습니다. 하지만 무쾌감 상태라고 모두 우울증인 것은 아니기에 개인에 따라 원인을 살펴볼 필요가 있습니다._x000D_
크고 작은 스트레스로 우울감을 경험하게 되었거나 심한 불안 상태에 오래 노출되어 지쳤을 경우 적절한 보람과 보상이 없는 일을 하며 오랫동안 버텨 왔거나 반복적인 좌절 경험으로 무기력한 상태가 되었을 수도 있습니다. 또, 번아웃 되며 마음의 에너지가 고갈되었을 때도 이런 경험을 할 수 있습니다._x000D_
한 마디로 감정을 느끼고 표현하는데 필요한 에너지가 부족한 상태가 된 것입니다. 이런 상태가 심각하고 오래되었다면 상담을 받아보시기를 권해 드립니다. 스스로 해볼 수 있는 방법도 함께 알려드리니 시도해보세요._x000D_
1. 즐거움과 편안함을 주는 작은 활동을 시도해보기_x000D_
2. 부담없이 집중할 수 있는 취미 활동하기_x000D_
3. 가까운 사람들에게 내 상태를 알리고 용기 내 고민을 이야기하기_x000D_
4. 이전의 좋았던 경험이나 긍정적 미래 상상하며 줄은 감정 느끼기_x000D_
*추천 도서 [어느 날 갑자기 무기력이 잦아왔다 (클라우스 베른하르트)]"
20,평소 괜찮다가 울컥울컥 우울함이 올라와 사라지지 않고 맴돌아요. 어떻게 하면 부정적 생각을 떨치고 이 악순환에서 빠져나갈 수 있을까요? ,"생활하다 우울감이 한 번 올라오면 잘 사라지지 않고 기존에 잘해왔던 일도 하기 버겁게 느껴지시나 봅니다. 만약 이런 것이 일생을 유지하는 테 방해가 될 정도 즉, 학업 수행, 대인관계 유지 등 윤이 님이 원하는 삶을 꾸려가는 것이 어렵게 느껴지신다면, 헬스케어센터 같은 상담 기관이나 정신건강의학과를 찾아서 지금의 우울감이 일시적인지 치료가 필요한 상태인지 점검받아보시면 좋을 것 같습니다._x000D_
혼자 해볼 수 있는 방법 증 ‘인지행동치료’ 방식을 소개해드릴게요. 자신을 괴롭게 하는 부정적 생각이 어떤 상황에서 주로 발생하는지, 어떤 생각 혹은 어떤 기억이 그런 감정을 느끼게 하는지 잘 관찰해보는 것입니다. 다음으로 그 생각이 진짜인지 확인해보는 것입니다. 오류가 있지는 섬 않는지, 진짜 내가 믿을 만한 생각인지 다시 판단해보는 것이죠. 이 활동을 할 수 있도록 안내된 책을 소개해드리며 헬스케어센터에 방문하시면 대여도 가능함을 알려드립니다._x000D_
*추천 도서 [똑똑한 인지행동치료(Stephen Briers)]"
21,스트레스받는 하루를 보내고 혼자 있을 때면 정신이 와르르 무너지고 그동안의 나쁜 기억들이 떠올라 무력해요. 무력감에서 빠져나올 수 있는 방법은 뭐가 있나요?,"스트레스는 우울감과 관련이 깊습니다. 만성적이고 반복되는 스트레스는 우울을 강화하지요. 나아가 수용 범위를 벗어나는 스트레스는 우리가 평소 유지하던 마음의 안정을 저하하고 유연성을 잃어 경직되게 합니다. 이로 인해 현재에 머물지 못하고 과거에 경험한 문제들을 회상하며 사고와 감정이 점점 더 경직되고 좌절감과 무력감이 일어납니다. 이는 다시 스트레스 대처에 어려움을 주고 더 큰 우울감과 무력감의 악순환에 빠지게 됩니다.
이를 해결하기 위해서는 잃어버린 유연성을 되찾아야 합니다.
1. 관계나 자아, 성취 등 삶에서 채워야 할 큰 가지 외에도 작은 조각들을 통해 충분히 안정감과 유연성을 회복할 수 있습니다. 소소한 기대와 만족 작은 성취들이 쌓여 회복을 위한 발판이 만들어집니다.
2. 스트레스의 원인을 탐색하고 상황 요인 외 자신이 가지고 있는 다른 가지들(비현실적 완벽주의 등)로부터 비롯된 것은 없는지 돌아봅니다.
부정적 감정들로부터 한 번에 탈주를 하기 위한 거창한 시도보다는 작은 시도와 만족, 자신의 노력에 대한 부분 점수 주기 등을 통해 잃어버린 유연성을 회복하세요. 이런 시도들이 쉽지 않다면 전문가의 도움을 받아보시기를 권합니다
*추천 도서[작은 것의 힘(Aisling Leonard-Curtin, Dr. Trish Leonard-Curtin)]"
22,우울할 이유가 없는데 우울하고 슬프다는 생각이 사이클처럼 반복되는 것 같아요. 이유 없이 우울할 수 있나요? 이럴 때 바로 병원에 가야 하나요?,"네. 이유 없이 우울할 수 있습니다. 우울한 느낌이 주 증상인 우울증 조울증과 같은 기분장애도 특별한 사건과 관계없이 발생할 수 있습니다. 많은 사람이 질병에 특별한 원인이 있을 거로 생각하지만 그렇지 않은 경우도 많습니다. 그러니 우울감으로 자주 힘들어서 일, 친구, 가족에서 문제가 생긴다면 더 나빠지지 않고 만성화되어 윤이님의 일부가 되지 않도록 조기에 치료하는 것이 중요합니다._x000D_
스트레스가 되는 사건이 없더라도 호르몬의 변화 약물 부작용 등으로 우울해질 수 있습니다. 감염으로 발생한 전신 염증 반응으로도 기분이 우울해질 수 있고 위암이 생긴 조기에는 소화기 증상도 없어 진단을 받고 우울해질 수는 있지만, 진단을 알기 전에는 기분에 미지는 영향이 없습니다. 그런데 뇌의 특정 위치에 뇌암이 생기면 크기가 작아도 기분 조절에 영향을 주기도 합니다. 우울감은 특별한 사건의 결과가 아니라 뇌가 어떠한 이유에서든 제 기능을 못 할 때 나타나는 증상일 수 있습니다._x000D_
감기 바이러스에 노출되면 감기에 걸리지만 감기 바이러스에 노출된 모두가 감기에 걸리는 것은 아닙니다. 게다가 감기 바이러스가 감기로 그치지 않고 위험한 폐렴이 되기도 하죠. 우울증이 감기 정도면 괜찮지만, 폐렴이 되기 전에 자신을 보호하는 것이 중요하기에 삶의 영역에 영향을 끼친다면 병원에 방문하시길 권유 드립니다."
